2026-06-08 15:02:30.706828,40.88,8.43,11.18,22.16,CRITICAL
2026-06-09 08:32:14.903848,28.03,10,7.34,85.02,CRITICAL
2026-06-09 08:32:19.934102,82.02,10,9.22,21.41,CRITICAL
2026-06-09 08:32:24.951142,73.51,8.0,1,53.31,CRITICAL
2026-06-09 08:32:29.960954,95,4.21,3.07,43.03,CRITICAL
2026-06-09 08:32:34.974205,72.87,6.52,8.72,28.28,WARNING
2026-06-09 08:32:39.993404,47.69,3.56,1,36.26,CRITICAL
2026-06-09 08:32:45.002267,42.57,8.43,1,48.92,CRITICAL
2026-06-09 08:32:50.018116,60.69,10,11.54,44.48,CRITICAL
2026-06-09 08:32:55.032006,90.16,3.92,1.83,78.73,CRITICAL
2026-06-09 08:33:00.049069,45.12,2.93,11.06,44.74,NORMAL
2026-06-09 08:33:05.065105,66.18,8.66,8.58,65.61,CRITICAL
2026-06-09 08:33:10.109882,95,2.79,11.42,48.82,CRITICAL
2026-06-09 08:33:15.137688,95,1.21,12.04,61.65,CRITICAL
2026-06-09 08:33:20.151428,46.13,10,10.49,32.15,CRITICAL
2026-06-09 08:33:25.151571,79.69,9.61,1,51.43,CRITICAL
2026-06-09 08:33:30.163933,62.05,10,5.78,78.59,CRITICAL
2026-06-09 08:33:35.256269,95,6.54,5.16,58.42,CRITICAL
